That’s a wrap. #SpotifyWrapped,2021-12-02 15:49:00,What about red and blue by B double E Still my go to game day jam!,Very creative!,Pamela Crawford I like that last song! 😉,Amy Jo Herrera the Crunchy Chicken Cheddar Wrap 🤣,Crimson (Taylor’s Version) 😂😂🤣😂😁😂🤣 that’s funny s***,Joseph David,This is great 👏👏,Someone at KU is being very creative.,Grant Laws Stewart,Bravo to the SMM 🤣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nestled just west of the Memorial Campanile::: Potter Lake has been a refuge for Jayhawks for more than 100 years::: no matter the season. Do you prefer Potter Lake in the summer or in the winter? Cast your vote with a ☀️ or ❄️.  📸: Meg Kumin::: staff photographer + Carol Holstead::: associate professor at KU William Allen White School of Journalism and Mass Communications,2021-01-15 16:18:10,Potter's Lake in the fall::: for sure. My husband proposed to me there under a canopy of fall trees.,Winter! I ice skated on it my freshman year!,❄️,☀️,I’ve sledded into::: have been thrown into and deposited a goalpost into Potter’s Lake! Rock Chalk!,Definitely not a lake.,Why did I not go there often when I was at the Lawrence campus for two years!! I would be there every week if I was on campus now!,Have you recovered any torn down goal posts? We are Kansas!,🌞⛅️🌧❄️,🌞,☀️,Fall,☀️,☀️,Both ❄️ and ☀️,Beautiful,🍁🍂 is my favorite!!,Anytime but winter,Ah yes...Potter's puddle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“Faith in the Free State:::” a four-part podcast that will tell the stories of current Black churches in northeast Kansas::: will be launched this year by Patricia Cecil::: an archivist associate in KU’s Department of Religious Studies.  KAKE.COM University archivist plans podcast on Black Kansas churches,2021-01-15 01:18:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandemic or no pandemic::: Zoom calls and other videoconferencing meetings are going to stay part of our working life::: according to Jeffrey Hall::: a KU professor of communication studies and the author of the recent book “Relating Through Technology.”  EDITION.CNN.COM Sorry::: but video meetings are here to stay,2021-01-13 23:47:02,Meg Gammage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Jay and Baby Jay of snow creations. #RockChalk  📸:: Michael Gillaspie,2021-01-13 16:10:08,I know it’s been forever since I was in college but I thought Big Jay was #1 and Baby Jay was #1/2,Rock Chalk Snowman!,Kinda looks like you Big Jay!,Jessica Reid,nice house,Holly Hulsopple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World-class political experts — including journalists::: exit pollsters::: and Biden and Trump campaign officers — analyze the 2020 elections in an 11-part video series ""Post-Election Conference"" on the KU Dole Institute’s YouTube channel.  TODAY.KU.EDU Dole Institute Post-Election Conference",2021-01-12 16:19:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontline doctors and nurses fighting COVID-19 are inspiring a new generation of students to enter medical or public health careers. A KU School of Medicine official is expecting to see the so-called “Fauci effect” surge in applications next year.  CJONLINE.COM The public health generation — COVID-19 is driving Kansas students to careers in medicine,2021-01-11 18:09:02,Wonderful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Sock::: Jayhawk.,2021-01-11 15:25:03,Love these socks! Rock Chalk Jayhawk!,I have the same ones! ❤️💙💛,My son wore the same pair (his lucky socks) each time he competed with the KU Track and Field team. They were a bit tattered by the end but he wore them faithfully. They helped him to two Big XII Champion titles::: to be a KU record holder and an All American.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The history of the destruction of the bison and what it says about U.S. environmental efforts are revealed in a 20th anniversary update of a KU distinguished professor’s signature book about America’s national mammal.  NEWS.KU.EDU ‘Destruction of the Bison’ anniversary edition,2021-01-08 22:41:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🎶 If you could request any song to be played on the carillon nestled atop the Memorial Campanile::: what would it be?,2021-01-08 15:57:04,John Lennon’s “Imagine”,Somewhere Over the Rainbow!! Please. <3 🌈,I agree the Alma Mater that would sound beautiful resonating across Mount Oread!!!❤❤🎶🎶🎶🎶,Sweet Child of Mine. This is Halloween. Piano Man. The Ghostbusters theme song.,The Alma Mater. ❤💙,'The Time Warp:::' from the Rocky Horror Picture Show. Get the whole campus dancing. Be sure to YouTube it.,Nocturne Op. 9 No. 2 by Chopin AND Clocks by Coldplay,You’re the Best by Tina Turner!,Just get me any lovely song reasonable,Anything that Dr. Holmberg played was beautiful. Hearing him play over my four years on campus::: will always be part of what made my KU exceptional.,Only to request a guest performer::: Tranda Frieling Nelssen!,I’m Too Sexy by Right Said Fred,Nine Inch Nails 'Closer',The Crimson and the Blue.,When Morning Breaks the Sky,Sweet Caroline ...my favorite song played at Allen Fieldhouse during games.,The Alma Mater!! 👏😊,"I'm a whole-hearted supporter for 'Somewhere Over the Rainbow."" It's freakin' Kansas after all. The Alma Mater would be fine too - nothing need to run 24/7 - LOL.",In-A-Gadda-Da-V ida::: of course! 🙂,Champagne problems by Taylor Swift,There’s so many but the one that would be most awesome has got to be the Alma Mater #RockChalk,Old fashioned Love song.,Harry Potter Hedwig's Theme,Riders on the Storm. All 7 min 14 sec of it.,Carry on our wayward son.,Superstition - Stevie Wonder,Whiter Shade of Pale,All You Need is Love by the Beatles,Can someone put a video clip of the Alma Maqter on Carillon here. I would love that!!!!! Any and all would be so special.,Hello!!! Bohemian Rhapsody! Would love to see Jayhawks head bang. Although a high percentage of current students may not know the song.,The KU Alma Mater....a beautiful song with heartfelt llyrics <3,"The Kansas State song::: ""Home on the Range.""","Debussy's ""Girl With the Flaxen Hair.""",I here it ringing::: now::: literally 💖🙏,Another One Bites The Dust,Summertime::: by DJ Jazzy Jeff and the Fresh Prince,There's been some random stuff up there recently... Some of them unrecognizable. . Where is a link to find out what they're playing...,Loved it when they did the Harry Potter theme at Halloween.,"On game days::: the KU fight song; ""I'm a Jayhawk.""",All the Single Ladies,Home on the Range,Hells Bells - AC/DC - just once!,Whatever you play...it needs more Cowbell!,Ding::: Dong The Witch is Dead at about 11:30 am on January 20th.,Wabash Cannonball,Home on the Range,Moonlight Sonata,"""Marble Machine"" by Wintergatan! https:// www.youtube.com/ watch?v=IvUU8joB b1Q&ab_channel= Wintergatan",I’m a Jayhawk!,"You should ""Rick roll"" the campus with ""Never Gonna Give You Up""",Tornado sirens.,Carol of the Bells,Eruption,A piece by Bach,https:// youtu.be/ Md7OvU5JIcI,Dear old Nebraska U🤓,Let There Be Peace on Earth,Thunderstruck,Wipeout,Seasons of Love!,Liz Berghout,Margaritaville,Ode to Joy,Alma mater.,Morning Has Broken,Jesu joy of man’s desiring,FREEBIRD! 😀,The Alma Mater.,In My Life,Mr. Brightside,Carol of the Bells,Navy Hymn,Alma Mater💕,Alma Mater for sure ❤️💙❤️💙,Ode to Joy,Hells Bells,America the Beautiful,Perfect!,In My Life,What a Wonderful World,You Are My Sunshine,"""Wabash Cannonball."" Just kidding!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you know KU’s majestic Fraser Hall replaced another building with the same name in nearly the same spot that was razed in 1965? Old Fraser Hall (left)::: dedicated in 1874::: and its 1967 replacement were named for John Fraser::: KU’s second chancellor.,2021-01-07 22:30:21,I had class in Fraser fall of 1967,Had classes in the old version. ❤️,I had classes in Old Frazier! What a beauty!,I had several classes in the original Fraser in the mid to late 50s.,New Fraser is architectural junk. Had many clinical psych. classes in this bldg.::: and thought it to be a mess. Liked the old Fraser better...,In the new Frazier::: I had heard there was a crack in the foundation caused by blasting within the area for further developments - to the point they were not sure the current building could stand - Anyone able to shed light on this?,I was there and watched the demolition. The university architect said old Frazier couldn’t be rehabilitated. That was a lie. The new Frazier didn’t didn’t have towers. It was and is an ugly building when compared to old Frazier. It was a tragic day in KU history.KU’s preservation efforts seem to have improved although::: the majestic interior of Watson was desecrated in the main reading room. I have been involved with historic preservation for many decades and received an award from The National Trust for Historic Preservation.,Statute of limitations has expired. My living group hung the first flag over New Frazier before it was ever opened. It was a green dyed shower curtain with three Js painted on it. Stood for the Jolly Jolliffe Jocks from Jolliffe Scholarship Hall:::,If you attended KU in the 70s or 80s::: this was common knowledge::: and TRAGIC common knowledge. Standing in front of the new Fraser::: it was difficult to comprehend how they could have razed such a beautiful work of 1800s architecture.,I remember a large lecture hall in the old Fraser. The roof leaked. If it was raining you had to choose your seat carefully.,"Next to the truly horrible Wescoe Hall::: New Fraser is probably the ugliest building on campus. I had classes in Old Fraser::: including in the beautiful wood-paneled auditorium with the gorgeous organ. Later I had classes in the brand new replacement::: which resembles nothing so much as a prison. ""Majestic?"" You jest.",Had French and Latin classes upstairs in Old Fraser. The classroom doors did not close.,Old Frazier was replaced by new Frazier. But::: Mccollum Hall was replaced by a parking lot! quite a difference.,"Eh... it's ""majestic"" only because it's big and in the prime location. The old one was MUCH better architecturally . If it couldn't be rehabilitated they should have at least built something new that looked as good. Unfortunately this has happened a few times. Lovely older buildings on campus demolished and replaced by newer modern ones that don't really fit the aesthetic.",Classes were still offered there in the early - mid 60s.,Plus the theatre in Fraser was lovely.,Most KU enthusiasts are aware of old Fraser and new Fraser.,I had several in the new one.,The steps were worn down by all the people before us....,Had classes there and watched it come down.,And some of the limestone was used for other projects.,"I'm nostalgic for the days when the worst things people had to write letters to the editor about were the razing of old Frazer and how vulgar 'The Twist"" were.",Old Fraser was more grand and eloquent. The wonderful weathered old stairs creaked back at you with every step.,New Fraser is a box - wish I seen old Fraser,I::: too::: had classes in old Frazier and was sad to see it come down.,Is this what we got due to state funding and lowest bidder,I went to Mass in the old Frasier hall in 1961!,https:// kansaspress.ku.e du/ 978-0-9613712-0- 3.html,I think it was still there in the spring of 1965 when I graduated.,Me::: too! Glad to have been there one year (64-65) with it! In the union there is a room decorated with wood::: cabinetry::: window::: etc. from old Frazier.,Tomas Andreas,Yes,I had several classes in Old Fraser in the mid 50's.,I remember English classes with wonderful Dr. Nelick.,reminds me of good old days.,Yes I did know that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As Kansas officials seek health data associated with the coronavirus::: they can turn to medical and hospital resource data in the latest edition of the Kansas Statistical Abstract developed by KU’s Institute for Policy & Social Research.  NEWS.KU.EDU New Kansas Statistical Abstract online,2021-01-07 19:13:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three KU professors have been named fellows of the American Association for the Advancement of Science: Dr. James Kindscher::: anesthesiology at KU Medical Center; Joan Sereno::: linguistics::: and Joane Nagel::: University Distinguished Professor of Sociology.  NEWS.KU.EDU 3 KU faculty elected AAAS fellows,2021-01-06 16:06:05,Joan Sereno was one of my favorite professors. She always came to lecture in a great mood::: excited to teach. Congrats!,. Dr Sereno::: such an honour to have had her as Professor. very proud to be a Jayhawk!!!!,Congratulations Rock Chalk Jayhawk!,Cant prove it now but im investigating but i think ku is wrapped up in politics trying to kick out patients before Biden moves ahead with his health care plan,Joan Sereno is a wonderful person::: a dedicated Professor::: and a phenomenal supervisor.,Joan Sereno was a great professor. So happy for her accomplishments .,Congratulations,Jennifer Janowski we doing more science!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A KU assistant professor’s new essay in a scholarly social work journal reveals that LGTBQ youths are facing unique challenges during the COVID-19 pandemic::: including social isolation and lack of access to mental health services.  NEWS.KU.EDU Pandemic not a shared experience for everyone,2021-01-05 16:21:02,All kids in life in school not just a group,GFYSs - everyone is going through their own personal hell.,All kids not in school are having these same problems.,To all the adults/parents making the same comment: do you know how hard it is to be a gay or trans kid with a family that isn't there for you? Do you know what it's like when you call your dad to say Happy Birthday::: but he won't answer your call? What it's like for your own mom to hang up when you're mid-sentance saying I love you. Ok::: then mind what you type.,Any number of people are going through the same experiences.,Really... spending time and research on this??,If they’re having mental health issues now just wait for the next four years.,Yawn...more grant money wasted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New year::: same goals:  🥇 To inspire Jayhawks to their full potential. 💭 To fuel discovery and ambition. 💙 To revel in what it means to be a Jayhawk. 🤝 To care for students::: the state::: and the greater good.  Here's to a bright and prosperous 2021! Rock Chalk!,2021-01-01 16:32:03,Happy New Years::: KU ❤️💙,May this new year be one of healing!,Happy new year 🎊🎈🎆,Happy New Year! We are Kansas!,Love that view! Happy New Year!,Rock Chalk! ❤️💙,Rock Chalk!❤️💙,Love the photo.,Love it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let’s all applaud the nine KU students who will receive prestigious Benjamin A. Gilman International Scholarships::: which provide up to $5:::000 to study or intern abroad. Learn more about the recipients.  NEWS.KU.EDU KU students receive Gilman scholarships,2020-12-31 16:01:08,Congrats !,Congratulations ! Rock Chalk Jayhawk!,Congrats!,Congrats!!! How wonderful they received the Gilman Scholarship to study abroad!!,Please contact me i need this essentially,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Following their trip to Central America::: a KU educator and her students have co-written a book::: “The Peoples and Languages of Roatán:::” about the mix of languages and cultures on the Honduran island of Roatán.  NEWS.KU.EDU Indigenous language learning moves off mainland,2020-12-30 19:13:02,Karen Lewis? Jason Davis?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A researcher at the KU Medical Center says the coronavirus pandemic has shown the importance of basic or bench research. Basic research provides a base of knowledge that applied science uses to develop treatments::: therapeutics::: and vaccines.  KUMC.EDU Bench science steps into the spotlight during the pandemic,2020-12-29 17:13:04,Thankful for science!,Hopefully more people will start believing in science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let’s all applaud the 15 KU sophomores who have been selected as 2021 Global Scholars by the Global Scholars Program. Learn more about the program and the research projects the students will do with faculty mentors.  NEWS.KU.EDU 2020 Global Scholars announced,2020-12-28 22:30:12,Congrats Dulani Hannadige::: my friend ☺️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Since 1927::: generations of Jayhawks have admired Hoch Auditoria::: known today as Budig Hall. Over the years::: the building has been home to countless labs and lectures::: served as the home of KU basketball (1927-1955)::: and welcomed world-famous personalities and performers including John Philip Sousa::: Sergey Rachmaninoff::: and John F. Kennedy.,2020-12-28 16:03:16,Had a few classes here my first two years at KU! I’ve got a very vivid memory of the Snitch runner for the Quidditch team tearing through the front of the Budig 120 lecture hall::: with a couple other people running behind him 😂,I was working as a waiter at the KU Alumni Association when we could see the smoke coming over the Campanile. I got off work and rushed to campus to find it ablaze. I came back to campus with my camera and rolls of b/w film to capture the moment. It was gut wrenching. We've seen some great shows: Rock Chalk Review many times::: The Smithereens::: George Winston::: and George Carlin to name a few.,I had a few classes in this building during my semester at KU::: a great building!,I went there with my Dad to watch KU Basketball games! That was a long time ago.The court was so small and if I remember right we sat upstairs.,I was there for my anthropology final.,I saw Wilt score 102 points as a freshman there.,That's where I had my high school graduation ceremony from Lawrence High in 1963.,Our first date was there. New York City Opera Company Marriage of Figaro. Lisa still loves that building.,....and countless concerts as well.,It was also the home of KUOK Campus radio station.,I saw Bob Marley and the Wailers there. One of the best concerts I saw during my years at KU.,I saw George Carlin perform there! It was awesome!,Bonnie Raitt in the 70’s. Also::: my parents went to basketball games there prior to AFH being built. Weird to think about a game there.,Alway loved the Christmas Vespers and my brother's LHS graduation was held there::: too. Elizabeth & Nick,I was there for JFK's wonderful speech.,I was there also Jerry. Miss a leader.,I heard Basil Rathbone quote Arthur Conan Doyle in Hoch. I heard Buckminster Fuller there. I heard Sandra Day O’Conner there. I sang in choruses there both in high school and during my college years. So many memories.,I had a class there in my freshman year (1966-67) and was there for a Bill Cosby performance on April 4::: 1968 - the night Dr. Martin Luther King was assassinated.,Many highlights::: but the Leipzig Gewandhaus Orchestra playing Beethoven’s 5th stands out. My freshman chemistry class was in Fraser with Another KU Legend::: Dr. Brewster!,And then there was the time a band camp kid climbed up the rafters::: fell through the ceiling and died. The giant patch in the ceiling went unnoticed by all those chem 184 students for 20 years.,I don’t know about those other “fellas”::: but I did get to see::: and had my ears blown away::: Ted Nugent. I think it burned or possibly just fell down after that. Lol ::: Old Budig Hall was a stately and classical building::: walked but it every day for a while. Rock Chalk.,And great Concerts. Nitty Gritty with an unknown comic as their opening act::: a guy in a white suit playing banjo......Stev e Martin 1973,I had several classes in that great bldg.!,As an 18 year old freshman::: I attended a talk by Angela Davis there::: that became a rally::: that became a march::: that became a sit in at the chancellor’s house protesting Don’t Ask::: Don’t Tell within the campus ROTC. Amber Brejcha Amber Brejcha Fraley & Michael Tidwell,The Opening Convocation when I was a Freshman in 1984 with Boog Highberger presiding::: Itzak Perlman::: REM::: and the Ciivil Rights protest out front with Haskell Indian Institute::: and of course Christmas Vespers,An announcers/ broadcast booth was located in the SE corner of Hoch auditorium::: at mezzanine level. The swinging window opened a lofty perch from which to watch and listen....,I there were stairs on the left side of the building that led up to a small Alcove somebody had designated toking station #9.  ?,Kansas! Saw them at KU back in the seventies!💥,We listened to distinguished guest speakers in this fabulous place.,Itzak Perlman. Early 90s. First row. So close I got hit with sweat flying off his head!,We were in our car at 23rd and Iowa and saw the lightning strike. Immediately::: smoke followed ....,Hoch Auditorium was the home of the music divisions of the Midwestern Music & Art Camp until the late 1950’s when Murphy Hall was built.,I remember being thrilled to see the group Blood Sweat and Tears eons ago!,Chem 184::: a class with about 1:::000 students—and my first class at KU::: was held here.,I loved playing in a small ensemble at vespers from that balcony right above the words “Hoch Auditorium”. One year there was snow on the ground and a group figured out we were sitting ducks for snowballs. Then WE figured out we had the high ground!,I was in Chem 184 when a TA came and whispered something to the professor. The professor then made the announcement that the Challenger had exploded,I watched it burn after that crazy intense thunderstorm that we had.,Chemistry with Clark Bricker...200+ students my freshman year. By the second week he knew everyone’s name. 4 years later I’m walking up the hill and Dr. Bricker is approaching. Have not seen him in three years. He says hello and addresses me by my full name. Incredible.,Opening convocation with chanc. Murphy::: rock chalk::: etc,"I forget what country I was in but I got a 1-line email from my friend Ian::: who worked across the street: ""Hoch's on fire!"" A couple hours later: ""Hoch burnt down!""",When was Hoch renamed? Decades ago?,I saw Bob Hope::: The Nitty Gritty Dirt Band and Steve Martin - all at Hoch.,When did the building burn down?,First basket ball game...,Scott and I had our first date there if memory serves. The Rock Chalk Review.,My cousin::: who taught while getting her PhD had an office in Hoch back in the early 80’s. I used to go there and drink tea with her between classes.,I cried the day it burned.,What fond memories come to mind when I see this picture. Some go all the way back to when I was a kid!,Singing Halloween carols in first year chemistry class ::: which was huge!,Pretty sure I saw REM there?,I heard Yitzhak Rabin speak there to a racous crowd,John Anderson for President packed the place.,Comedian Steve Martin ‘78,I saw JFK there in 1958.,Saw Andre Previn direct there.,Lisa Obermeier and I attempted a viewing of Wagner's Opera that lasted 4 days for our course in Hitler's Germany.,And a blast of an improv class...,Physical Anthropology taught by Dr. Bass and Christmas Vespers.,My favorite building,Saw Angela Davis there.,I saw REM there in 1984.,Tower of Power 74,There were stairs.,Front row.....the Romantics.,I took calc tests in there.,bob marley and linda loveless the porn star,Clement Attlee 1958 or 1959.,Bob Marley!!,Hoch isn't Hoch? That it's interesting,Vespers hasn't been the same since it left Hoch. That was a highlight of my dorm years. Everybody got fancied up and went to Vespers::: maybe a Joe's or Bucky's run afterward. Definitely not the same vibe in Lied::: as nice a venue as it is.,I loved finding the secret passageway to Anchutz. Spent a lot of time in both places.,Who remembers the beat up writing boards for note taking?,Laurie Anderson,Mary E. Gillispie Brand ::: Bromelsick parties::: everyone went!,freshman chemistry!,George Carlin,Karen Mullen Kennedy john philip sousa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
