"“While the pandemic has brought significant chaos into my life and the lives of others::: I think it has also clarified a lot: that many things — systems::: norms — are more fragile than we realize; that it’s more important to think locally and think communally than ever before ...  Given how lucky I am in such infinite and varying ways::: I am more convinced than ever that I have some responsibility to pay that good fortune forward.""  Congratulations to Sophie Li '21::: winner of a 2021 #RhodesScholarship to pursue a M. Sc. in Refugee and Forced Migration Studies at University of Oxford! 👏  PRINCETON.EDU UPDATED: Princeton senior Sophie Li wins Rhodes Scholarship for Hong Kong",2020-11-24 01:30:06,June Chan,Congrats 👏 👏 👏,Congratulations !,Congratulations !,Congratulations ::: and good luck!,Congratulations 🎊🎈,CovEd great idea - would love to join and do my part,Congratulations to Sophie!! Wonderful news! A welcome cause for celebration in a time of great hardship 🙌🏽🐯,Congratulations 🎉,Gloria Petreska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PrincetonU is opening a new #COVID19 testing laboratory to support its comprehensive testing program for students::: faculty::: staff and researchers approved to be on campus.  The in-house clinical laboratory is an integral part of the University’s overall health and safety measures::: and will facilitate increased testing capabilities - at least 2:::000 tests per day - with faster results.,2020-11-23 17:39:36,Make sense,Great Job Princeton!!!👍🧡🤟,Hope this will mean that my granddaughter will be back on campus for her last semester and graduation.,Awesome 👏🏼,Great job Princeton University!!!,Good job guys!,If only our country was run by such intelligent::: innovative leadership. Way to go Princeton!,So how to get tested there? Appointment only? Where is it exactly? Why no info???,Nicole,2:::000 tests a day::: amazing!,This is fantastic!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PrincetonU is proud to be one of the first institutional tenants of The Hub::: a collaborative site in downtown New Brunswick designed to foster research::: entrepreneurship and start-up incubation in New Jersey.  NJ.COM Princeton::: Rutgers among first tenants of ‘The Hub’::: in New Brunswick,2020-11-21 20:20:01,Congrats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As the pace of data creation and collection continues to accelerate::: professors in a variety of disciplines talk about both the power and potential perils of artificial intelligence and what limitations and safeguards we need to take into account moving forward.  This event features a panel discussion with Center for Information Technology Policy director professor Matthew Salganik and Princeton University Computer Science faculty members Mona Singh and Elad Hazan *06. Moderated by Microsoft president Brad Smith '81. #ForwardFest,2020-11-21 01:00:14,Welcome to #ForwardFest! We hope you’ll enjoy tonight’s programming. We’ve created a Resource Guide for you to help engage in this conversation and to learn more about our Forward Thinkers: https://bit.ly/ 3pG54KW,Are you an optimist or a pessimist about the future of data science and artificial intelligence? Why?,How might your current job change in the next 10 years due to advances in AI and robots - and what type of education will be required to help the world’s workforce adapt?,How do we ensure that A) the machines and programs remain accountable to people and B) that those who designed them also remain accountable? What needs to be done for people to trust AI?,Thank you for tuning in to #ForwardFest! Next month’s installation takes place on Dec. 17. Keep an eye out for more information at forwardthinking .princeton.edu/ festival,Would you say this is social. Or personal?,There need to be ethical and legal parameters and regulations restricting data. Information can invade privacy and can be used to restrict people's freedom. Insurance companies can restrict policies to those they feel are likely to become ill::: or to avoid people who may make claims. Banks used data to red line neighborhoods and decline loans to people of color. And it is frightening to know Google and Microsoft is compiling a data dosier on me to be sold to the highest bidder. So I get ads that target me::: based on key words::: which is very threatening.,They value it,I work as an attorney::: and a good deal of my job involves human interaction and evaluation. AI can be used as a tool::: just as a hammer can be used as a tool. But data and analysis of data still needs human supervision. I can see how data and artificial intelligence can be useful::: but I don't believe AI can replace human intelligence (which is also flawed.),My mother too😗😗,I love PU😗😗,And living ai and humans require surgery when their parts break down,Both human and machines die.,I enjoyed Forward Fest. I would like to continue to attend zoom meetings with Princeton!,They should get DNA tests for themselves at Ancestry::: 23andMe::: My Heritage::: Family TreeDNA::: their exomes::: and full genomes and explore third party tools as well.,Data science and AI::: like any technology::: can be used for good or evil. China is compiling data on all its citizens to control their lives. AI can be used for predictive purposes::: or for replacing humans with machines::: or to free up humans. I'm generally optimistic::: but cautious.,Johnny Brasil,Vasishta HarekalPranav Gupta great format,Sadly::: we all don't agree. There are some bad actors and all nations don't have the same objectives or ethics. An ever know from international hacking::: etc. that data is fragile. Saudi Arabia::: Iran::: North Korea::: Russia may have very different objectives. Cambridge Analytica used data for political purposes. Genetic data is extremely dangerous. We know of predispositions for certain illnesses. Companies may fail to hire employees who are likely to come down with a disease.,Pictorial memory. No closing of eyes... just memory as you go,Are you referencing. Marvin Minsk’s frames essay? For memory?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambassador Samantha Power is the former U.S. Permanent Representative to the UN::: the Anna Lindh Professor of the Practice of Global Leadership and Public Policy at Harvard Kennedy School and the William D. Zabel ’61 Professor of Practice in Human Rights at Harvard Law School. She will be joined in conversation with Deborah Amos::: Ferris Professor of Journalism in Residence at Princeton.,2020-11-19 22:00:16,Thank you for your insight,Ambassador Power is one of the people who inspired my love for foreign policy. Your incredible journey from an immigrant child perspective to sitting as the US representative at the UN gives me confidence about the possibility of greatness ahead.  Thank you::: Ma'am.  ❤,Greetings from New York::: Ambassador Power.,You are such a hero - don’t stop!,My mother and I ::: victims of state terrorism in Argentina::: send our deep respect to you::: honorable ambassador Samantha Power,Hi Princeton from Iran In another year::: the world will be amazed by my discovery and I will inform MIT.,Hello ambassador::: regards from Manado-Indonesi a. Thanks for all you do 👍,🥰🥰,"Very saddened by Ms Powers clear bias for the Globalists New World Order Agenda WEF ""Reset"" / UN Agenda 21 slow but sure implementation ( as she well knows ; ) .... it's quite a shame to say the least::: her talent + skill + loyalty is so misguided",Hello ambassador power thank you for all you do!,From the Philippines,Great Job!,https:// www.youtube.com/ watch?v=XPEyWL_9 gfU&list=PLe6EP 38qqR0af4fPQGy1 LzbR6-8gY8KgA&i ndex=1,Thank you for being you and loving the USA,Thank you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scientists have discovered a rare object called the Blue Ring Nebula::: a ring of hydrogen gas with a star at its center. The properties of this system suggest it is the remnant of two stars meeting their ultimate demise: an inward orbital dance that resulted in the two stars merging. The result offers a new window into the fate of many tightly orbiting binary star systems.  PRINCETON.EDU In the mysterious Blue Ring Nebula::: scientists see the fate of binary stars,2020-11-18 21:43:25,"You guys like Monsters::: Shinedown "" monsters"" song.:::",Neat,Maddy Philipp,As two small rocks rubbed and combines for a larger size.,David Moffett,Creation continues on!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lolita Buckner Inniss '83 will be joined in conversation with Miguel Centeno::: the Musgrave Professor of Sociology and Vice-Dean at the Princeton School of Public and International Affairs::: to discuss her book ""The Princeton Fugitive Slave: The Trials of James Collins Johnson.""",2020-11-17 21:30:44,The project at Brown was started by Former President Ruth Simmons who was a former Dean at Princeton.,Even in the 90s a lot of uniformed men and women worked in the houses of faculty/deans/ paid by the university. But also landscapers and cooks in dining halls and caterers at Princeton Club etc...,Has the role ended?,Rose in 90036,hello from Bangladesh,My family is from the eastern shore of Maryland and I was born and raised in Princeton and babysat the grandchildren of President Shapiro over the summer and did research assistance in high school and later there. I’m currently writing a book partly takes place in Princeton and have been going through online archives of photos and newspapers. It’s all really fascinating to me. I can’t wait to read this book! Great talk and presentation.,Hi iam from Guatemala,Absolutely right!! Great Work Lolita!,Hi from Russia!👋 Interesting topic!,Great investigative work::: Lolita!,Fascinating. Just ordered your book now. Your bio is so impressive::: Lolita. Thank you.,See my page::: white people were also SLAVES : IRISH LIVES Matter,Your presentation is as engaging as your writing::: Lolita! Congratulations !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""We are all tired of social distancing::: mask‑wearing::: and other precautions::: but we need to remain vigilant and careful—for yourself and for your loved ones::: for the doctors and nurses upon whom we count::: and::: indeed::: for everyone in the communities around us.""  With the uptick in #COVID19 cases nationwide and the upcoming holiday season::: President Eisgruber writes about staying vigilant and following public health protocols especially as the University prepares for the upcoming semester: https://bit.ly/3pAgsbi",2020-11-17 15:00:43,but the 7 people also broke social distancing or weren't wearing face masks::: they wouldn't catch the virus otherwise,Rosemary Debil,Jan Michael Lam,its better stay home if you have nothing to do outside,Ryan,Stephen Ontengco Sam Agbada,Maddy,JM Uy,Phoebe,Ghelle,Rica,Arvie Joyce Cueto,Amunn Rra,Be responsible. It is not just our own lives are at risk. Our behaviors impact others around us.,Paul,Jm Alvarez,Oyo Pizarro,Chelsea Sarandi,Jomar Joson,Helen Rabilles,Ecks Sotelo,France Flores Francis Flores Lea Diaz-Flores Naira Diaz Jovi Magpayo Cherry Diaz Amy Eugenio Danielle Ann Cuevas Lea Tulud Vanj Eugenio Mat,Mustafa Adil,Pauline Castillejos for yer argumenttt,Kev Gvn,Sara,Junjie Goño this is what I had been telling you about... One of the guests worked in a correctional facility while symptomatic and the other was a healthcare worker.,Stay home. Safety first. 🙏🏻🐯,My family is getting discharged today from Covid-19. All 5 members of the family caught it. Including my 87 yrs old grandmother and my 8 mo. old daughter. We rarely go out of the house. My grandma is bedridden and I have never taken my daughter out of the house. Still we suffered from it. The fear and the threat was real. And I am nothing but thankful that we recovered. But never again would I let an outsider enter our house.,Mon,Jane Cachola,Anderson Liu,Anna Marg,Shan Tabuyo Emman Tabuyo,Reich,Gregory Rafael 🥺,Adrian,Darian Princess Jamin,Sarrah,But those 7 got the virus from this 176 people::: right?,Precious Columna,Louise Piamonte,Jeremiah Lorenz Ariston,Bee Eldrich Jaey Abrera,Jayjay,Joy Rodriguez Cavan,Is there any proof for this?and what test did they use?,we got to celebrate CHRISTMAS but we’ve got to be conscientiously CONSIDERATE:::cau tiously careful especially with d vulnerable & elders & 1 way is simply WEARING A MASK:::WASH HANDS:::SOCIAL DISTANCE if u can.we will GET OVER this in GOD’s grace🙏🏽,Stay home::: wear a mask and be part of the solution to this pandemic otherwise it will be endemic. 😟,Jared Caraos Magboo,Cheska Jane Lirio Rivera,Tj Alberto,Julia,Man Ramos,Justine Alberto,CaiCai Quina Greta Quina,Rem Meriales,Leovy Ruiz Enot,Mags Yanes,Marinel Corneta Davala Nepomuceno J. Davala Jr. Marinella Corneta Davala Kent Harold Davala Niv Lek,Ymelson Llantino,Donju Joya,Vennie Ventura Dana Hernandez Loren Palo,Celyn Enriquez Bautista,Linc Yap 😠😠,Joseph Padilla,Joy Valdez,Suraida Juan,Rose Cadelina,Carla Ramos,Renfred Chua,John Torres,Maila Geron Sira,Faye Deligente,Daisylyn O. Carreon,👍🏻,Jose Louis Luntok,Joan Yesner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As the pace of data creation and collection continues to accelerate::: professors in a variety of disciplines talk about both the power and potential perils of artificial intelligence and what limitations and safeguards we need to take into account moving forward.  This event features a panel discussion with Center for Information Technology Policy director professor Matthew Salganik and Princeton University Computer Science faculty members Mona Singh and Elad Hazan *06. Moderated by Microsoft president Brad Smith '81. #ForwardFest  Forward Fest: Thinking Forward Data Science and Artificial Intelligence,2020-11-17 00:01:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“We need to reach people in ways that go beyond the science. The atmosphere::: the oceans::: the forests: All of those are going to be saved only if we understand that the Earth itself is a great story::: a story that includes us. We need to tell that story in a much more compelling and inspiring way.”  #PrincetonU has established an endowed fund with a gift from Currie C. and T. A. Barron ‘74 that will significantly increase support for faculty and students pursuing research that is crucial to preserving our species and will build upon the University’s decades-long leadership in studying and protecting the rich variety of Earth’s ecosystems. https://bit.ly/3lDIr7p #PrincetonForward,2020-11-16 17:01:31,Fantastic!,"Nadir Noordin::: Will Simon ""A life - whether seamstress or poet::: farmer or king - is measured not by its length::: but by the worth of its deeds::: and the power of its dreams.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambassador Samantha Power is the former U.S. Permanent Representative to the UN::: the Anna Lindh Professor of the Practice of Global Leadership and Public Policy at Harvard Kennedy School and the William D. Zabel ’61 Professor of Practice in Human Rights at Harvard Law School. She will be joined in conversation with Deborah Amos::: Ferris Professor of Journalism in Residence at Princeton.  The Education of an Idealist: A Conversation with Samantha Power,2020-11-15 16:26:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
